Item,Price,Date
PnP Oranges 4s,24.99,2020-08-23
PnP Plums 750g,34.99,2020-08-23
PnP Starking Apples 1.5kg,29.99,2020-08-23
PnP Queen Pineapple,24.99,2020-08-23
PnP Juicing Oranges 2kg,24.99,2020-08-23
PnP Grapefruit Carry Bag 2.5kg,34.99,2020-08-23
PnP Medjool Dates 180g,29.99,2020-08-23
PnP Lemons 4s,27.99,2020-08-23
PnP Pineapples 2s,29.99,2020-08-23
PnP Grapefruit 4s,34.99,2020-08-23
PnP Soft Citrus Half Tray 1.5kg,44.99,2020-08-23
PnP Pears 1.5kg,24.99,2020-08-23
PnP Organic Bananas,17.99,2020-08-23
PnP Oranges Bag 2.5kg,24.99,2020-08-23
PnP Bananas 1.5kg,34.99,2020-08-23
PnP Bananas 750g,17.99,2020-08-23
PnP Kiwi Fruit 4s,34.99,2020-08-23
PnP Seasonal Sharing 450g,39.99,2020-08-23
PnP Royal Gala Apples 1.5kg,27.99,2020-08-23
PnP Kids Yellow Apples 1kg,17.99,2020-08-23
PnP Mandarins Tray,54.99,2020-08-23
PnP Limes 350g,29.99,2020-08-23
PnP Lemons 850g,26.99,2020-08-23
PnP Breakfast Papaya,37.99,2020-08-23
PnP Pink Lady Apples 1 Kg,25.99,2020-08-23
PnP Golden Delicious Apples 1.5kg,26.99,2020-08-23
PnP Baby Papaya 2s,29.99,2020-08-23
PnP Granny Smith Apples 1.5kg,26.99,2020-08-23
PnP Top Red Apples 1.5kg,32.99,2020-08-23
PnP Packham Pears 1.5kg,26.99,2020-08-23
PnP Kids Red Apples 1kg,17.99,2020-08-23
