,Item,Price,Date
0,Grapefruit In Bag 2kg,24.99,2020-08-25
1,Safari Pitted Dates Pack 250g,16.99,2020-08-25
2,Lemon Per kg,18.99,2020-08-25
3,Naartjie Per kg,19.99,2020-08-25
4,Grapefruit Per kg,14.99,2020-08-25
5,Orange Per kg,14.99,2020-08-25
6,Packham Pears Pack 1.5kg,19.99,2020-08-25
7,Gala Royal Apples Bag 1.5kg,26.99,2020-08-25
8,Forelle Pears 1.5kg,23.99,2020-08-25
9,Delicious Golden Apples Bag 1.5kg,18.99,2020-08-25
10,Red Top Apples 1.5kg,26.99,2020-08-25
11,Granny Smith Apples 1.5kg,16.99,2020-08-25
12,Papaya Loose Per kg,16.99,2020-08-25
13,Packham&#039;s Triumph Pears Per kg,19.99,2020-08-25
14,Bulk Banana Pack 1.2kg,25.99,2020-08-25
15,Naartjies Pack 1kg,19.99,2020-08-25
16,Minneolas Pack 1kg,19.99,2020-08-25
17,Golden Extra Large Apple Single,3.99,2020-08-25
18,Starking Extra Large Apple Single,3.99,2020-08-25
19,Loose Bananas Per kg,16.99,2020-08-25
20,Kiwi Fruit Single,8.99,2020-08-25
21,Single Extra Large Granny Smith Apple Single,3.99,2020-08-25
22,Limes 4 Cavity Pack,24.99,2020-08-25
23,Apples Pack 3kg,29.99,2020-08-25
24,Econo Pak Standard Apples 1.5kg,14.99,2020-08-25
25,Core Red Apples Pack 1kg,11.99,2020-08-25
26,Orange Pack 3kg,21.99,2020-08-25
27,Lemons In Bag,16.99,2020-08-25
28,Bananas Bag,13.99,2020-08-25
29,Starking Apples Pack 1.5kg,28.99,2020-08-25
30,Trumps Pitted Dates Bar 100g,8.99,2020-08-25
31,Soft Citrus Karripoc,29.99,2020-08-25
32,Oranges Pack 2kg,19.99,2020-08-25
33,Pears Pack 1kg,13.99,2020-08-25
34,Econo Pak Green Apples Pack 1kg,8.99,2020-08-25
35,Large Orange Pocket,29.99,2020-08-25
36,Guavas Pack 750g,26.99,2020-08-25
37,Mandarins Pack 1kg,19.99,2020-08-25
38,Red Apples Pack 3kg,29.99,2020-08-25
