Item,Price,Date
English Cucumber 300g - 650g,16.99,2020-08-26
Bananas 1.4Kg,36.99,2020-08-26
Large Bananas 950g,27.99,2020-08-26
Rosa Tomatoes 400g,28.99,2020-08-26
Everyday Medium Potatoes 2Kg,32.99,2020-08-26
Large Carrots 1Kg,14.99,2020-08-26
Lemons 850g,26.99,2020-08-26
Supersweet Sweetcorn 4Pk,24.99,2020-08-26
Small Bananas 800g,21.99,2020-08-26
Ripe & Ready Avocados 2Pk,36.99,2020-08-26
Button Mushrooms 250g,27.99,2020-08-26
Bulk Salad Tomatoes 1Kg,22.99,2020-08-26
Sweetest Little Red Apples 1Kg,18.99,2020-08-26
Strawberries 400g,39.99,2020-08-26
Golden Delicious Apples 1.5Kg,28.99,2020-08-26
Ripe & Ready Avocados 4Pk,52.99,2020-08-26
Baby Marrows 350g,23.99,2020-08-26
Whole Cauliflower Avg 500g,29.11,2020-08-26
Baby Spinach 200g,34.99,2020-08-26
Organic Bananas 1.2kg,31.99,2020-08-26
Iceberg Lettuce Head,16.99,2020-08-26
Butternut Avg 900g,12.89,2020-08-26
Whole Broccoli Avg 400g,21.60,2020-08-26
Bulk Everyday Potatoes 3Kg,38.00,2020-08-26
Blueberries 180g,36.99,2020-08-26
Medium Carrots 500g,9.99,2020-08-26
Mediterranean Cucumber 150g - 250g,7.99,2020-08-26
Bulk Salad Tomatoes 2Kg,38.00,2020-08-26
Butternut  500g,20.00,2020-08-26
Brown Onions 1Kg,16.99,2020-08-26
Ripe & Ready Juicy Pears 6Pk,24.99,2020-08-26
Papaya Punnet 2Pk,34.99,2020-08-26
Slicing Tomatoes 4Pk,19.99,2020-08-26
Sweet Potatoes 1Kg,24.99,2020-08-26
Fresh Coriander 30g,10.99,2020-08-26
Top Red Apples 1.5Kg,36.99,2020-08-26
Chefs Style Carrots 300g,20.00,2020-08-26
Broccoli 300g,25.99,2020-08-26
Queen Pineapples 2Pk,32.99,2020-08-26
Four Leaf Salad 180g,24.99,2020-08-26
Raspberries 160g,39.99,2020-08-26
Portabellini Mushrooms 250g,27.99,2020-08-26
Colour Peppers 3Pk,36.99,2020-08-26
Baby Potatoes 700g,17.99,2020-08-26
Everyday Large Potatoes 2Kg,34.99,2020-08-26
Rosa Tomatoes 200g,15.99,2020-08-26
Granny Smith Apples 1.5Kg,28.99,2020-08-26
Mixed Mushrooms 400g,29.99,2020-08-26
Blueberries 400g,69.99,2020-08-26
Ripen at Home Avocados 1Kg,39.99,2020-08-26
Bulk Roasting Vegetables 800g,39.99,2020-08-26
Mini Rosa Tomatoes 200g,15.99,2020-08-26
Mini Cucumbers 350g,19.99,2020-08-26
Green Beans 350g,25.99,2020-08-26
Onions 3Kg,38.00,2020-08-26
Whole Celery Min. 400g,19.99,2020-08-26
Mixed Vegetables 400g,29.99,2020-08-26
Flavourburst™ Strawberries 400g,52.99,2020-08-26
Lemons 3Pk,19.99,2020-08-26
Sweet Potatoes 2Kg,38.00,2020-08-26
Roasting Vegetables 500g,29.99,2020-08-26
Whole Garlic 2Pk,39.99,2020-08-26
Bulk Carrots 3Kg,38.00,2020-08-26
Organic Bananas 750g,17.99,2020-08-26
Single Queen Pineapple,20.99,2020-08-26
Chef's Style Baby Carrots 120g,14.99,2020-08-26
Baby Corn 100g,24.99,2020-08-26
Celery Fingers 250g,18.99,2020-08-26
Small Papaya 2Pk,28.99,2020-08-26
Roma Tomatoes 800g,22.99,2020-08-26
Cabbage,17.99,2020-08-26
Pick & Mix Solo Leaf Butter Lettuce 80g,16.99,2020-08-26
Sugar Snap Peas 120g,32.99,2020-08-26
Tenderstem® Broccoli 230g,39.99,2020-08-26
Creamed Spinach & Honey Cinnamon Butternut 350g,44.00,2020-08-26
Cauliflower Florets 300g,25.99,2020-08-26
Flavourburst™ Blueberries 360g,79.99,2020-08-26
Piccolini Cherry Tomatoes 200g,15.99,2020-08-26
Pink Lady® Apples 1Kg,26.99,2020-08-26
Tricolore Peppers 450g,29.99,2020-08-26
Baby Gem Lettuce Hearts,17.99,2020-08-26
Baby Potatoes 700g,26.99,2020-08-26
Four Leaf Salad 300g,28.99,2020-08-26
Broccoli & Cauliflower Florets 300g,25.99,2020-08-26
Fresh Mint 20g,10.99,2020-08-26
Pick & Mix Wild Rocket 40g,16.99,2020-08-26
Whole Ginger Min. 200g,44.99,2020-08-26
Loose Avocado,13.99,2020-08-26
